Date,Growing Year,Cumulative Radiation
1979-04-11,1978-1979,1188.7005649999999
1979-04-12,1978-1979,1197.740113
1979-04-13,1978-1979,1206.779661
1979-04-14,1978-1979,1223.7288135
1979-04-15,1978-1979,1240.677966
1979-04-16,1978-1979,1274.576271
1979-04-17,1978-1979,1283.6158189999999
1979-04-18,1978-1979,1292.655367
1979-04-19,1978-1979,1301.694915
1979-04-20,1978-1979,1318.6440675
1979-04-21,1978-1979,1335.59322
1979-04-22,1978-1979,1342.372881
1979-04-23,1978-1979,1349.152542
1979-04-24,1978-1979,1358.19209
1979-04-25,1978-1979,1367.231638
1979-04-26,1978-1979,1376.271186
1979-04-27,1978-1979,1403.389831
1979-04-28,1978-1979,1414.6892659999999
1979-04-29,1978-1979,1425.988701
1979-04-30,1978-1979,1437.288136
1979-05-01,1978-1979,1457.627119
1979-05-02,1978-1979,1477.966102
1979-05-03,1978-1979,1487.00565
1979-05-04,1978-1979,1496.045198
1979-05-05,1978-1979,1505.084746
1979-05-06,1978-1979,1516.384181
1979-05-07,1978-1979,1527.683616
1979-05-08,1978-1979,1538.983051
1979-05-09,1978-1979,1548.022599
1979-05-10,1978-1979,1557.062147
1979-05-11,1978-1979,1566.101695
1979-05-12,1978-1979,1606.779661
1979-05-13,1978-1979,1647.457627
1979-05-14,1978-1979,1681.355932
1979-05-15,1978-1979,1708.474576
1979-05-16,1978-1979,1725.4237285
1979-05-17,1978-1979,1742.372881
1979-05-18,1978-1979,1755.9322029999998
1979-05-19,1978-1979,1769.491525
1979-05-20,1978-1979,1796.610169
1979-05-21,1978-1979,1810.1694915
1979-05-22,1978-1979,1823.728814
1979-05-23,1978-1979,1837.2881360000001
1979-05-24,1978-1979,1850.847458
1979-05-25,1978-1979,1867.7966105
1979-05-26,1978-1979,1884.745763
1979-05-27,1978-1979,1901.6949155
1979-05-28,1978-1979,1918.644068
1979-05-29,1978-1979,1935.5932205
1979-05-30,1978-1979,1952.542373
1979-05-31,1978-1979,1961.581921
1979-06-01,1978-1979,1970.621469
1979-06-02,1978-1979,1979.661017
1979-06-03,1978-1979,1993.220339
1979-06-04,1978-1979,2006.779661
1979-06-05,1978-1979,2020.338983
1979-06-06,1978-1979,2033.898305
1979-06-07,1978-1979,2047.457627
1979-06-08,1978-1979,2081.355932
1979-06-09,1978-1979,2092.655367
1979-06-10,1978-1979,2103.954802
1979-06-11,1978-1979,2115.254237
1979-06-12,1978-1979,2132.2033895
1979-06-13,1978-1979,2149.152542
1979-06-14,1978-1979,2160.4519769999997
1979-06-15,1978-1979,2171.751412
1979-06-16,1978-1979,2183.050847
1979-06-17,1978-1979,2200.0
1979-06-18,1978-1979,2216.949153
1979-06-19,1978-1979,2237.288136
1979-06-20,1978-1979,2257.627119
1979-06-21,1978-1979,2291.525424
1979-06-22,1978-1979,2308.4745765
1979-06-23,1978-1979,2325.423729
1979-06-24,1978-1979,2359.322034
1979-06-25,1978-1979,2376.2711865
1979-06-26,1978-1979,2393.220339
1979-06-27,1978-1979,2433.898305
1979-06-28,1978-1979,2442.937853
1979-06-29,1978-1979,2451.977401
1979-06-30,1978-1979,2461.016949
1979-07-01,1978-1979,2474.576271
1979-07-02,1978-1979,2488.135593
1979-07-03,1978-1979,2501.694915
1979-07-04,1978-1979,2518.6440675000003
1979-07-05,1978-1979,2535.59322
