,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
64,0,0,0,0,0,0,0,21.24,65.33,111.77,145.15,158.97,154.8,142.37,116.2,77.03,35.33,6.14,0,0,0,0,0,0
65,0,0,0,0,0,0,0,21.88,60.79,108.14,138.57,161.41,156.53,141.16,119.12,84.15,42.09,7.4,0,0,0,0,0,0
66,0,0,0,0,0,0,0,24.99,64.3,110.24,142.79,168.11,171.44,153.9,129.9,90.22,46.4,8.53,0,0,0,0,0,0
67,0,0,0,0,0,0,0,25.25,59.15,102.55,134.28,151.19,151.96,134.99,108.98,79.11,40.77,8.31,0,0,0,0,0,0
68,0,0,0,0,0,0,0.13,27.9,69.32,114.46,147.47,163.3,160.27,143.44,120.05,85.6,43.49,9.08,0,0,0,0,0,0
69,0,0,0,0,0,0,1.22,23.63,61.64,98.03,120.95,136.17,137.17,125.25,105.36,74.94,38.19,9.11,0,0,0,0,0,0
70,0,0,0,0,0,0,1.4,24.66,61.48,103.86,135.93,149.26,146.32,128.55,102.3,71.13,37.39,9.28,0,0,0,0,0,0
71,0,0,0,0,0,0,1.88,29.81,67.86,110.9,137.62,154.25,158.75,138.93,117,84.5,45.51,11.26,0,0,0,0,0,0
72,0,0,0,0,0,0,2.15,30.03,67.62,113.45,143.68,159.46,163.06,153.37,131.6,96.79,52.84,13.45,0,0,0,0,0,0
73,0,0,0,0,0,0,2.78,34.55,78.16,125.86,152.97,177.38,178.77,162.17,133.26,94.99,51.79,13.35,0,0,0,0,0,0
74,0,0,0,0,0,0,2.79,32.67,70.42,112.46,144.43,167.32,171.72,151.41,129.27,91.56,48.41,13.72,0,0,0,0,0,0
75,0,0,0,0,0,0,3.45,34.8,67.82,109.53,140.96,158.98,159.13,138.8,110.54,78.44,42.67,12.9,0,0,0,0,0,0
76,0,0,0,0,0,0,3.71,34.39,70.74,112.34,140.09,154.6,157.06,153.62,133.36,97.66,54.38,15.3,0,0,0,0,0,0
77,0,0,0,0,0,0,4.17,32.2,72.4,118.73,147.02,168.66,164.38,153.79,134.81,98.25,56.69,17.81,0,0,0,0,0,0
78,0,0,0,0,0,0,5.44,40.2,85.07,125.01,158.3,172.88,168.75,164.71,141.59,102.28,57.42,18.6,0,0,0,0,0,0
79,0,0,0,0,0,0,5.33,33.9,69.7,110.41,136.51,148.54,152.91,139.63,123.86,87.85,50.46,17.5,0,0,0,0,0,0
80,0,0,0,0,0,0,7.04,42.61,93.91,138.03,164.93,182.39,175.44,158.79,135.01,98.23,57.52,20.92,0,0,0,0,0,0
81,0,0,0,0,0,0,7.65,46.98,95.66,142.48,172.18,192.17,190.94,175.3,152.87,108.17,64.35,23.23,0,0,0,0,0,0
82,0,0,0,0,0,0,8.87,48.62,98.38,144.5,177.67,187.27,180.45,170.22,149.8,108,64.81,24.44,0,0,0,0,0,0
83,0,0,0,0,0,0,9.73,47.75,96.02,140.76,166.35,181.86,189.07,177.3,152.13,111.65,67.21,25.37,0,0,0,0,0,0
84,0,0,0,0,0,0,11.03,51.99,102.76,150.63,180.8,191.51,188.74,171.36,150.79,111.2,67.62,24.39,1.08,0,0,0,0,0
85,0,0,0,0,0,0,12.11,54.9,106.31,153.68,189.46,205.94,198.04,179.84,161.02,116.22,69.66,24.88,1.39,0,0,0,0,0
86,0,0,0,0,0,0,13.11,54.67,103.55,147.57,179.5,190.78,182.01,174.51,150.55,112.41,67.98,25.16,1.5,0,0,0,0,0
87,0,0,0,0,0,0,13.49,55.11,99.36,144.86,176.52,193.13,191.73,182.86,158.44,115.52,68.94,25.79,1.71,0,0,0,0,0
88,0,0,0,0,0,0,14.31,49.48,91.35,129.88,158.08,166.35,172.65,161.84,141.36,104.48,62.72,23.6,1.9,0,0,0,0,0
89,0,0,0,0,0,0,17.44,61.03,113.57,156.79,184.63,202.28,194.8,169.12,144.48,103.99,65.34,25.39,2.22,0,0,0,0,0
90,0,0,0,0,0,0,18.4,56.93,104.17,145.19,177.66,190.93,196.21,179.2,160.66,116.78,73.47,29.84,2.69,0,0,0,0,0
91,0,0,0,0,0,0,21.33,63.13,111.57,154.74,178.62,191.36,195.24,186,158.17,119.18,75.41,32.48,3,0,0,0,0,0
92,0,0,0,0,0,0,22.76,63.15,111.16,159.03,192.93,202.26,211.47,202.35,176.62,132.09,82.33,35.02,3.22,0,0,0,0,0
93,0,0,0,0,0,0,25.72,67.97,115.51,165.29,192.8,206.8,203.85,187.54,165.22,119.31,73.83,31.28,3.55,0,0,0,0,0
94,0,0,0,0,0,0,25.49,61.11,111.31,151.42,178,191.45,196.21,179.63,160.59,125.13,77.65,33.77,3.72,0,0,0,0,0
95,0,0,0,0,0,0.8,26.06,71.33,120.87,169.42,198.36,208.38,210.93,201.02,168.02,126.86,80.78,36.22,4.13,0,0,0,0,0
96,0,0,0,0,0,1.42,28.12,75.59,127.16,173.88,212.1,227.84,221.85,206.94,180.75,137.35,86.82,38.99,4.88,0,0,0,0,0
97,0,0,0,0,0,1.77,33.87,83.69,138.27,186.51,215.52,225.34,224.18,209.39,182.44,135.87,88.4,40.55,5.29,0,0,0,0,0
98,0,0,0,0,0,2.1,35.06,85.4,142.14,193.08,221.99,236.2,231.36,218.06,191.75,144.7,92.19,41.15,5.59,0,0,0,0,0
99,0,0,0,0,0,2.41,32.34,81,133.76,180.49,207.48,212.16,204.86,185.26,161.79,119.42,76.88,35.27,5.72,0,0,0,0,0
100,0,0,0,0,0,2.54,32.97,78.76,132.71,180.07,213.25,227.91,227,204.32,176.83,136.59,86.27,40.97,6.63,0,0,0,0,0
101,0,0,0,0,0,3.22,36.06,85.41,138.24,182.64,214.83,210.69,208.56,187.53,159.05,120.51,78.84,38.58,6.77,0,0,0,0,0
102,0,0,0,0,0,3.49,35.65,81.74,134.91,181.98,203.89,216.95,206.16,188.34,156.14,119.13,75.75,38.05,7.33,0,0,0,0,0
103,0,0,0,0,0,4.35,38.8,86.9,139.41,185.13,213.45,226.86,217.98,204.51,178.07,133.58,87.07,43,8.4,0,0,0,0,0
104,0,0,0,0,0,4.55,34.72,81.39,130.65,179.91,219.11,234.61,226.31,201.17,174.64,134.69,87.79,43.29,8.38,0,0,0,0,0
105,0,0,0,0,0,5.37,41.14,92.13,145.65,196.35,233.56,246.51,237.29,218.61,191.3,148.19,97.23,48.37,9.76,0,0,0,0,0
106,0,0,0,0,0,6.1,45.07,101.24,157.97,208.28,235.95,242.15,231.33,214.36,190.31,144.4,95.5,47.83,10.46,0,0,0,0,0
107,0,0,0,0,0,6.61,44.75,97.7,155.22,206.68,245.73,252.43,240.75,219.78,188,143.41,95.29,48.77,10.57,0,0,0,0,0
108,0,0,0,0,0,8.41,52.19,111.62,174.09,225.93,257,268.03,270.78,246.59,215.99,167.27,114.39,61.02,13.84,0,0,0,0,0
109,0,0,0,0,0,8.6,46.63,97.25,151.62,195.25,221.18,230.32,229.06,210.03,189.09,148.33,100.08,52.56,12.96,0,0,0,0,0
110,0,0,0,0,0,9.4,49.76,103.2,157.82,207.1,239.01,245.81,251.35,233.73,209.88,163.73,108.27,56.39,14.16,0,0,0,0,0
111,0,0,0,0,0,10.44,54.14,109.98,166.67,216.71,249.85,262.25,259.18,235.97,208.17,163.57,110.7,58.93,15.43,0,0,0,0,0
112,0,0,0,0,0,11.3,51.63,108.14,163.75,213.15,250.3,261.8,256.89,233.32,194.68,150.7,104,56.64,15.72,0,0,0,0,0
113,0,0,0,0,0,11.51,50.17,102.12,159.68,207.73,242.11,259.47,246.68,233.91,203.04,150.1,103.78,55.43,16.01,0,0,0,0,0
114,0,0,0,0,0,12.68,47.94,95.51,145.6,190.31,224.95,241.63,231.24,217.46,182.91,144,99.01,54.86,16.27,0,0,0,0,0
115,0,0,0,0,0,13.97,51.38,103.53,155.35,196.99,232.13,237.49,248.67,221.69,201.64,157.57,108.45,60.48,19.38,0,0,0,0,0
116,0,0,0,0,0,14.4,50.2,99.37,149.45,186.27,219.62,237.27,237.46,209.96,187.78,151.75,104.02,58.23,18.86,0,0,0,0,0
117,0,0,0,0,0,16.68,56.64,105.15,156.49,201.95,221.54,232.02,235.61,208.67,180.38,146.54,99.9,54.37,18.22,0,0,0,0,0
118,0,0,0,0,0,15.69,51.6,94.7,146.64,177.49,196.73,208.16,204.56,193.99,169.48,130.45,89.42,49,16.72,0,0,0,0,0
119,0,0,0,0,0,16.61,55.53,101.07,152.82,182.16,204.03,205.45,208.7,197.27,172.75,138.76,97.15,57.02,20.82,0,0,0,0,0
120,0,0,0,0,0,17.91,56.83,109.14,158.76,197.25,214.25,225.8,222.29,213.39,188.12,146.73,101.26,56.84,20.94,0.11,0,0,0,0
121,0,0,0,0,0,21.17,62.48,116.59,168.78,213.93,237.44,240.13,234.36,223.32,188.6,148.99,104.24,60.37,20.47,1.12,0,0,0,0
122,0,0,0,0,0,20.6,58.16,105.88,153.72,191.38,217.93,227.38,226.43,205.44,177.4,144.2,99.33,58.17,20.64,1.3,0,0,0,0
123,0,0,0,0,0,23.76,59.3,105.83,155.67,200.81,235.45,239.83,240.29,227.66,192.78,153.1,110.08,64.19,22.03,1.42,0,0,0,0
