JDay,Min Temp
232.0,11.918181818181818
233.0,12.034545454545453
234.0,12.262954545454546
235.0,11.807954545454544
236.0,11.413181818181819
237.0,11.278636363636364
238.0,11.64409090909091
239.0,10.915227272727272
240.0,10.793863636363637
241.0,10.591818181818182
242.0,10.59681818181818
243.0,10.255454545454546
244.0,10.322045454545455
245.0,10.555454545454545
246.0,10.78659090909091
247.0,10.40840909090909
248.0,10.4275
249.0,10.4775
250.0,10.271590909090909
251.0,10.326818181818181
252.0,10.601590909090909
253.0,10.273409090909091
254.0,10.374090909090908
255.0,9.833409090909091
256.0,9.269772727272727
257.0,9.292045454545455
258.0,9.415
259.0,9.334318181818182
260.0,9.338863636363637
261.0,9.463636363636363
262.0,9.582272727272727
263.0,9.819318181818183
264.0,9.284772727272726
265.0,9.120909090909091
266.0,9.13
