JDay,Max Temp
236.0,21.242045454545455
237.0,21.094545454545454
238.0,20.943181818181817
239.0,20.77477272727273
240.0,20.83659090909091
241.0,20.856818181818184
242.0,20.29386363636364
243.0,20.466136363636362
244.0,20.58022727272727
245.0,20.758181818181818
246.0,20.784772727272728
247.0,20.82431818181818
248.0,20.381590909090907
249.0,20.001818181818184
250.0,20.75318181818182
251.0,20.44431818181818
252.0,20.218863636363636
253.0,20.307045454545456
254.0,19.96159090909091
255.0,19.575227272727275
256.0,18.732045454545457
257.0,19.023636363636363
258.0,19.101136363636364
259.0,18.965227272727272
260.0,18.80727272727273
261.0,18.808863636363636
262.0,18.656363636363636
263.0,18.861590909090907
264.0,19.222727272727273
265.0,18.50227272727273
266.0,18.24568181818182
267.0,17.776818181818182
268.0,17.75340909090909
