JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11.0,3.4524,3.464,3.5448000000000004,3.6592000000000002,3.7828,3.8383999999999996,3.8292,3.7664,3.7912,4.2844,4.9368,5.5876,5.9764,6.0604,5.833600000000001,5.1168000000000005,4.4944,4.2304,3.906,3.63,3.4959999999999996,3.3792,3.2512,3.1836
12.0,3.2076,3.3148,3.3812,3.4112,3.4219999999999997,3.488,3.484,3.5332,3.778,4.465199999999999,5.239199999999999,5.9936,6.497999999999999,6.6415999999999995,6.333600000000001,5.4808,4.6352,4.3,4.0844,3.9663999999999997,3.9432,3.9148,3.9768,4.0272
13.0,3.9539999999999997,3.8571999999999997,3.782,3.6927999999999996,3.5907999999999998,3.49,3.4951999999999996,3.5648,3.756,4.400399999999999,5.142,5.9479999999999995,6.5524000000000004,6.734,6.4096,5.4576,4.6772,4.4124,4.1988,3.9892000000000003,3.7303999999999995,3.4328000000000003,3.1608,2.9868
14.0,2.9668,2.9939999999999998,2.9863999999999997,2.9848000000000003,2.9424,2.8775999999999997,2.8116000000000003,2.7739999999999996,2.9184,3.6348000000000003,4.4416,5.2504,5.7616,5.9,5.6404,4.6912,3.8592,3.7028,3.5972000000000004,3.4951999999999996,3.3884000000000003,3.3212,3.2960000000000003,3.3708
15.0,3.4452,3.468,3.4572000000000003,3.468,3.4388,3.3436000000000003,3.3287999999999998,3.3487999999999998,3.586,4.254,5.0116000000000005,5.7816,6.284800000000001,6.4244,6.1172,5.1968000000000005,4.3024000000000004,3.87,3.5232,3.2612,3.1324,3.076,3.0712,3.0524
16.0,3.0439999999999996,2.9624,2.8436000000000003,2.7624,2.6924,2.6508,2.654,2.7004,2.9504,3.6568,4.4668,5.3332,5.949199999999999,6.1648000000000005,5.8508000000000004,4.8712,4.0516000000000005,3.7948000000000004,3.5056,3.2196,2.9704,2.7892,2.6688,2.546
17.0,2.4036,2.3008,2.3148,2.362,2.3592,2.3888,2.368,2.314,2.524,3.1872,3.9892000000000003,4.7992,5.32,5.5144,5.207999999999999,4.1288,3.1056,2.7588,2.5432,2.3888,2.274,2.206,2.0951999999999997,1.9672
18.0,1.9316,1.9152,1.8276,1.7875999999999999,1.7248,1.7288,1.7052,1.6703999999999999,1.9168,2.6048,3.4492000000000003,4.328,4.938,5.1596,4.9632,4.1080000000000005,3.3152,3.2064,3.1704000000000003,3.1064,3.0536000000000003,2.9463999999999997,2.8468,2.758
19.0,2.728,2.7528,2.7396,2.6792000000000002,2.6519999999999997,2.5915999999999997,2.5496,2.4992,2.6824,3.412,4.3176,5.2808,5.9424,6.0927999999999995,5.7184,4.5692,3.4352,3.1719999999999997,3.0912,3.0192,2.9471999999999996,2.8092,2.6776,2.5944
20.0,2.5268,2.4979999999999998,2.506,2.5384,2.5556,2.5852,2.5544,2.5224,2.7472,3.4315999999999995,4.1975999999999996,4.9792000000000005,5.5264,5.728400000000001,5.4676,4.4908,3.5348,3.2328,3.0076,2.798,2.6415999999999995,2.5408,2.4196,2.2803999999999998
21.0,2.0964,2.0144,2.0176000000000003,2.0236,2.0100000000000002,1.9928,1.9556,1.9456,2.3,3.1031999999999997,3.998,4.8515999999999995,5.396,5.602,5.345600000000001,4.2644,3.1108,2.8304,2.6748000000000003,2.622,2.616,2.5827999999999998,2.5544,2.5604
22.0,2.4928,2.3872,2.32,2.2168,2.11,2.0468,2.0636,2.1808,2.612,3.4572000000000003,4.3660000000000005,5.1924,5.630800000000001,5.755199999999999,5.5028,4.6628,3.7256,3.4008,3.1704000000000003,3.0104,2.8816,2.7856,2.7648,2.6872
23.0,2.6124,2.4796,2.3844,2.2843999999999998,2.1668000000000003,2.0616000000000003,1.9868000000000001,1.8903999999999999,2.166,2.9256,3.9144,4.946000000000001,5.672000000000001,5.926,5.8296,5.1692,4.2307999999999995,3.8388,3.5072,3.2912,3.1460000000000004,3.0164,2.9,2.7968
24.0,2.7156000000000002,2.6856,2.6896,2.7292,2.6608,2.53,2.4704,2.44,2.718,3.3944,4.24,5.1356,5.686,5.8548,5.599600000000001,4.6284,3.468,3.1056,2.8236000000000003,2.6904000000000003,2.6168,2.5084,2.3684,2.1664
25.0,2.0088,1.8991999999999998,1.8952,1.976,2.064,2.0852,2.134,2.2432,2.7392000000000003,3.58,4.484,5.3924,6.0336,6.3024000000000004,6.1608,5.4936,4.5484,4.1308,3.8356,3.614,3.3708,3.14,2.9056,2.7407999999999997
26.0,2.6571999999999996,2.5968,2.6184,2.7232,2.76,2.7272000000000003,2.76,2.7596,3.1919999999999997,3.9863999999999997,4.8452,5.6084000000000005,6.096800000000001,6.287999999999999,6.154,5.405600000000001,4.3292,4.0368,3.7716000000000003,3.4852,3.3164,3.21,3.0756,2.9052
27.0,2.8056,2.7932,2.822,2.8103999999999996,2.8168,2.7744,2.8148,2.8552,3.2124,4.0236,5.0428,6.1112,6.8504,7.1752,6.978400000000001,6.064,4.808400000000001,4.3187999999999995,4.0516000000000005,3.8804000000000003,3.7536,3.596,3.4403999999999995,3.2936
28.0,3.2024,3.0544,2.8884,2.7384,2.588,2.5024,2.4928,2.5228,3.0076,3.9048000000000003,4.9088,5.7688,6.3392,6.5624,6.374,5.6032,4.518,4.1256,3.928,3.8224,3.748,3.7052000000000005,3.6968,3.674
29.0,3.6595999999999997,3.6628000000000003,3.6192,3.5664,3.5332,3.5012,3.4852,3.5176,3.8851999999999998,4.5288,5.3624,6.1972000000000005,6.8136,7.0904,6.8412,5.9824,4.7244,4.2332,3.9204000000000003,3.6872,3.5348,3.3760000000000003,3.222,3.1104000000000003
30.0,2.9876,2.8276,2.6240000000000006,2.4028,2.1471999999999998,1.9496,1.7919999999999998,1.6872,2.2116,3.0907999999999998,4.1251999999999995,5.091600000000001,5.6524,5.837999999999999,5.636,4.768,3.4164,2.9015999999999997,2.62,2.3648,2.1471999999999998,2.084,2.1220000000000003,2.1624
31.0,2.0688,1.946,1.8784,1.8592000000000002,1.9656,2.1252,2.2396000000000003,2.3416,2.8588,3.7495999999999996,4.809200000000001,5.672000000000001,6.1579999999999995,6.3656,6.2208000000000006,5.5208,4.4484,3.9384,3.6604,3.4224,3.3164,3.3136,3.3268,3.3032
32.0,3.1584000000000003,3.0096000000000003,2.9612,2.9816,2.9412000000000003,2.8116,2.6768,2.6239999999999997,3.0892,3.9972000000000003,5.072,5.972,6.4848,6.642799999999999,6.4563999999999995,5.67,4.4052,3.9939999999999998,3.7204,3.4263999999999997,3.2439999999999998,3.1483999999999996,3.0068,2.858
33.0,2.764,2.6908,2.7076,2.7268,2.7512,2.7688,2.8788,3.0548,3.6284000000000005,4.534800000000001,5.5012,6.344399999999999,6.864,7.0367999999999995,6.8668000000000005,6.2224,5.0164,4.4684,4.2,3.9436,3.6844,3.4444,3.2176,3.0236
34.0,2.8676,2.7732,2.6815999999999995,2.6136,2.5891999999999995,2.5744,2.5476,2.5704000000000002,3.2,4.2008,5.282,6.1524,6.7212,6.956799999999999,6.806799999999999,6.1264,5.0244,4.5256,4.3268,4.1228,3.8864,3.6708,3.4272000000000005,3.2560000000000002
35.0,3.174,3.0784,3.0912,3.1675999999999997,3.2439999999999998,3.3016,3.2484,3.1332,3.6319999999999997,4.6532,5.8836,6.996,7.653200000000001,7.842,7.610399999999999,6.8267999999999995,5.6216,4.9772,4.666,4.482,4.3268,4.2292000000000005,4.180400000000001,4.1188
36.0,3.9672,3.7428,3.5272,3.4819999999999998,3.49,3.394,3.2883999999999998,3.2768,3.7848,4.6684,5.601999999999999,6.402,6.9664,7.176,7.021599999999999,6.4456,5.280399999999999,4.7104,4.436,4.2476,4.0536,3.8868,3.784,3.7439999999999998
37.0,3.6888,3.588,3.4692000000000003,3.358,3.31,3.2708,3.1576,3.088,3.5624000000000002,4.31,5.186,5.9639999999999995,6.5612,6.7951999999999995,6.626,5.8876,4.6368,3.9764,3.6932,3.478,3.3076,3.0568,2.74,2.4888
38.0,2.3584,2.2532,2.13,2.0684,1.9716,1.8912,1.8136,1.8412,2.5264,3.52,4.7224,5.6696,6.254,6.5248,6.3672,5.626,4.3652,3.7207999999999997,3.4608,3.2076,3.0507999999999997,3.0016000000000003,2.8856,2.7548000000000004
39.0,2.6204,2.502,2.4368,2.4208,2.4152,2.3768000000000002,2.3424,2.3348,2.78,3.5343999999999998,4.494,5.38,6.015599999999999,6.3108,6.239199999999999,5.6404,4.2856,3.5964,3.2868,2.9939999999999998,2.752,2.6784000000000003,2.6763999999999997,2.6156
40.0,2.5727999999999995,2.5168,2.4379999999999997,2.3316,2.2536,2.2652,2.2416,2.334,3.0307999999999997,3.8931999999999998,4.8952,5.7548,6.3096000000000005,6.5316,6.3668,5.715599999999999,4.468,3.7304000000000004,3.2612,2.8552,2.5664,2.3192000000000004,2.1772,2.084
41.0,2.0208,1.9351999999999998,1.9008,1.9124,1.946,1.946,1.9272,1.9812,2.6832,3.5764000000000005,4.5164,5.3016,5.8088,5.9724,5.861599999999999,5.367999999999999,4.2076,3.4776,3.1792000000000002,2.906,2.7495999999999996,2.6292,2.5116,2.416
42.0,2.2954166666666667,2.18625,2.1112499999999996,2.1287499999999997,2.0925,2.0083333333333333,1.9075,1.9945833333333332,2.7916666666666665,3.7870833333333334,4.90125,5.825833333333333,6.435833333333334,6.735416666666667,6.680416666666666,6.055833333333333,4.610416666666667,3.7758333333333334,3.4483333333333337,3.1275,2.8095833333333338,2.5704166666666666,2.395,2.2916666666666665
43.0,2.2658333333333336,2.2116666666666664,2.16125,2.1466666666666665,2.1687499999999997,2.2016666666666667,2.2525,2.4525,3.29625,4.29125,5.288333333333333,6.07,6.548749999999999,6.691666666666666,6.517083333333333,5.96875,4.74625,3.9125,3.5991666666666666,3.357083333333333,3.1770833333333335,3.018333333333333,2.9295833333333334,2.9308333333333336
44.0,2.8854166666666665,2.80625,2.6779166666666665,2.5191666666666666,2.3891666666666667,2.345833333333333,2.38125,2.455,3.0583333333333336,3.89,4.895833333333333,5.78625,6.317083333333334,6.469166666666666,6.2475,5.659583333333334,4.50875,3.8045833333333334,3.567083333333333,3.327916666666667,3.168333333333333,3.0729166666666665,2.8670833333333334,2.6958333333333333
45.0,2.5741666666666667,2.4316666666666666,2.3041666666666667,2.266666666666667,2.2033333333333336,2.1770833333333335,2.1216666666666666,2.185416666666667,2.844583333333333,3.8200000000000003,5.068333333333333,6.2058333333333335,6.967083333333334,7.289583333333333,7.228333333333333,6.706666666666667,5.373333333333334,4.353333333333333,3.93375,3.5400000000000005,3.19375,2.9920833333333334,3.0091666666666668,3.0658333333333334
