JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
70,0,0,0,0,0,0,1.400833333,24.66,61.48416667,103.855,135.9270833,149.2633333,146.3191667,128.5545833,102.2966667,71.12666667,37.38625,9.28125,0,0,0,0,0,0
71,0,0,0,0,0,0,1.87875,29.81416667,67.86708333,110.9041667,137.6158333,154.2520833,158.7520833,138.9304167,117.00375,84.4975,45.515,11.2575,0,0,0,0,0,0
72,0,0,0,0,0,0,2.147083333,30.025,67.62125,113.4483333,143.67875,159.4575,163.0575,153.3695833,131.6004167,96.79166667,52.84125,13.45125,0,0,0,0,0,0
73,0,0,0,0,0,0,2.774166667,34.5525,78.16083333,125.86375,152.9733333,177.38125,178.7729167,162.1741667,133.2625,94.98875,51.79458333,13.35333333,0,0,0,0,0,0
74,0,0,0,0,0,0,2.794583333,32.67291667,70.42541667,112.45875,144.43,167.3254167,171.7145833,151.405,129.2675,91.56458333,48.40416667,13.71708333,0,0,0,0,0,0
75,0,0,0,0,0,0,3.4525,34.79666667,67.81625,109.5329167,140.95625,158.9754167,159.125,138.8016667,110.5375,78.44083333,42.67416667,12.90375,0,0,0,0,0,0
76,0,0,0,0,0,0,3.707916667,34.38958333,70.73833333,112.3416667,140.0945833,154.59875,157.0625,153.6220833,133.3533333,97.65583333,54.38208333,15.29583333,0,0,0,0,0,0
77,0,0,0,0,0,0,4.16875,32.19791667,72.39583333,118.72625,147.0220833,168.6629167,164.38,153.7908333,134.81125,98.24583333,56.68375,17.80625,0,0,0,0,0,0
78,0,0,0,0,0,0,5.440833333,40.2,85.07,125.0070833,158.30375,172.875,168.7529167,164.71,141.5920833,102.2745833,57.42375,18.59708333,0,0,0,0,0,0
79,0,0,0,0,0,0,5.327083333,33.90041667,69.70458333,110.4116667,136.5066667,148.5395833,152.9058333,139.6304167,123.85875,87.8475,50.46333333,17.5,0,0,0,0,0,0
80,0,0,0,0,0,0,7.037083333,42.61375,93.90583333,138.0275,164.9325,182.3854167,175.4395833,158.7929167,135.00875,98.23333333,57.5175,20.91541667,0,0,0,0,0,0
81,0,0,0,0,0,0,7.654583333,46.97833333,95.65416667,142.4825,172.1758333,192.16875,190.9358333,175.3016667,152.86625,108.1645833,64.3525,23.2325,0,0,0,0,0,0
82,0,0,0,0,0,0,8.86875,48.61458333,98.37541667,144.5029167,177.6754167,187.2729167,180.4520833,170.2204167,149.7991667,107.9991667,64.81291667,24.44583333,0,0,0,0,0,0
83,0,0,0,0,0,0,9.72875,47.75125,96.02041667,140.7579167,166.35375,181.8608333,189.0666667,177.2975,152.1304167,111.6454167,67.21333333,25.36541667,0,0,0,0,0,0
84,0,0,0,0,0,0,11.0375,51.99,102.7625,150.6308333,180.8004167,191.5133333,188.7375,171.35625,150.7891667,111.1991667,67.6225,24.38583333,1.075,0,0,0,0,0
85,0,0,0,0,0,0,12.105,54.90125,106.3116667,153.6825,189.4633333,205.9375,198.0375,179.8420833,161.01625,116.2233333,69.66208333,24.87458333,1.390833333,0,0,0,0,0
86,0,0,0,0,0,0,13.11041667,54.67333333,103.555,147.5675,179.5029167,190.7841667,182.0125,174.5070833,150.5475,112.4045833,67.97958333,25.16291667,1.495416667,0,0,0,0,0
87,0,0,0,0,0,0,13.49041667,55.11291667,99.35916667,144.8545833,176.5208333,193.13,191.7270833,182.8566667,158.44,115.5220833,68.94083333,25.79208333,1.707083333,0,0,0,0,0
88,0,0,0,0,0,0,14.30791667,49.48125,91.34583333,129.88125,158.0816667,166.3479167,172.6458333,161.8391667,141.3604167,104.48375,62.71625,23.59583333,1.899166667,0,0,0,0,0
89,0,0,0,0,0,0,17.44208333,61.02333333,113.56625,156.7858333,184.6279167,202.27875,194.7970833,169.1225,144.4820833,103.995,65.33958333,25.38625,2.217916667,0,0,0,0,0
90,0,0,0,0,0,0,18.39875,56.93208333,104.1741667,145.1845833,177.6591667,190.9320833,196.2075,179.1983333,160.6625,116.7816667,73.46666667,29.84291667,2.690833333,0,0,0,0,0
91,0,0,0,0,0,0,21.32416667,63.12625,111.57,154.725,178.6216667,189.3045833,195.2425,185.1816667,158.0695833,119.1004167,75.36083333,32.46416667,3.002083333,0,0,0,0,0
92,0,0,0,0,0,0,22.75958333,63.15166667,111.1608333,159.0245833,192.9316667,202.2595833,211.4720833,202.3504167,176.6154167,132.0929167,82.325,35.01875,3.21875,0,0,0,0,0
93,0,0,0,0,0,0,25.72291667,67.96916667,115.5108333,165.2933333,192.8,206.7979167,203.8475,187.5433333,165.21625,119.305,73.83041667,31.28375,3.545833333,0,0,0,0,0
