Date,Photovernalized-Affected Thermal Time
1980-08-05,16.200000000000003
1980-08-06,16.6
1980-08-07,19.35
1980-08-08,14.65
1980-08-09,16.6
1980-08-10,16.9
1980-08-11,15.499999999999998
1980-08-12,15.0
1980-08-13,17.85
1980-08-14,19.200000000000003
1980-08-15,19.5
1980-08-16,16.8
1980-08-17,16.4
1980-08-18,16.3
1980-08-19,15.5
1980-08-20,17.75
1980-08-21,16.249999999999996
1980-08-22,12.85
1980-08-23,11.400000000000002
1980-08-24,12.15
1980-08-25,12.849999999999998
1980-08-26,15.299999999999995
1980-08-27,16.049999999999997
1980-08-28,17.45
1980-08-29,15.3
1980-08-30,15.499999999999998
1980-08-31,13.85
1980-09-01,14.1
1980-09-02,15.4
1980-09-03,15.4
1980-09-04,14.0
1980-09-05,14.7
1980-09-06,15.4
1980-09-07,16.2
1980-09-08,14.799999999999995
1980-09-09,12.650000000000002
1980-09-10,14.6
1980-09-11,14.8
1980-09-12,16.15
1980-09-13,13.45
1980-09-14,15.8
1980-09-15,15.3
1980-09-16,16.599999999999998
1980-09-17,13.6
1980-09-18,14.35
1980-09-19,16.95
1980-09-20,15.949999999999998
1980-09-21,16.2
1980-09-22,14.400000000000002
1980-09-23,13.750000000000002
1980-09-24,13.0
1980-09-25,12.45
1980-09-26,12.499999999999998
1980-09-27,13.049999999999995
1980-09-28,0.0
1980-09-29,0.0
1980-09-30,0.0
1980-10-01,0.0
1980-10-02,0.0
1980-10-03,0.08045110270563065
1980-10-04,0.30645746944805713
1980-10-05,0.3665010871340496
1980-10-06,0.7666552699094324
1980-10-07,0.8100578903978882
1980-10-08,1.0386802597485558
1980-10-09,1.0565316520068475
1980-10-10,0.6140066044569336
1980-10-11,1.3094614055545413
1980-10-12,1.5760644943442865
1980-10-13,1.3020557148936536
1980-10-14,1.62507601491201
1980-10-15,1.6210361840699845
1980-10-16,1.9250717397390684
1980-10-17,2.1482139780560043
1980-10-18,1.7022659119515098
1980-10-19,1.7161026999606892
1980-10-20,2.6427654677402153
1980-10-21,3.9342971283955515
1980-10-22,4.51902462734656
1980-10-23,4.300831842786374
1980-10-24,3.4128991671016173
1980-10-25,3.3724089787170546
1980-10-26,5.070596291200763
1980-10-27,5.934778958074869
1980-10-28,6.767429083665049
1980-10-29,4.7592458726940645
1980-10-30,2.74002899122434
1980-10-31,2.802914326252561
1980-11-01,2.7299783127626376
1980-11-02,1.7141506474050798
1980-11-03,1.31199868600103
1980-11-04,1.0966187358273556
1980-11-05,1.091226714716263
1980-11-06,1.525438043808402
1980-11-07,0.8233569545557375
1980-11-08,1.2803355898931712
1980-11-09,2.1152848220275886
1980-11-10,1.927808759379809
1980-11-11,2.423847023697405
1980-11-12,1.658772983189703
1980-11-13,2.3768541600939965
1980-11-14,4.159677423237984
1980-11-15,5.282224808606312
1980-11-16,6.0990149710873505
1980-11-17,5.507685885002937
1980-11-18,3.4769816458267897
1980-11-19,3.657921072280994
1980-11-20,5.076403098957639
1980-11-21,5.12922528206876
1980-11-22,5.760509657499652
1980-11-23,6.123404168680683
1980-11-24,6.244925760270556
1980-11-25,2.8850417784005096
1980-11-26,1.449519660640011
1980-11-27,1.8474199092103631
1980-11-28,0.7083042154284278
1980-11-29,0.4236927512346717
1980-11-30,0.7275689286730799
1980-12-01,1.2638502691728608
1980-12-02,1.3772103524884234
1980-12-03,1.0012016563509891
1980-12-04,1.440155761069592
1980-12-05,2.433508855153838
1980-12-06,1.1795113740956338
1980-12-07,0.4385686420607368
1980-12-08,0.6221063060172941
1980-12-09,1.426183206623958
1980-12-10,2.5954447382816217
1980-12-11,3.853542735667233
1980-12-12,3.940629183085132
1980-12-13,4.37145609127959
1980-12-14,4.001810151654013
1980-12-15,1.5996049734297086
1980-12-16,1.9413370435530306
1980-12-17,2.4885547668445462
1980-12-18,1.0956510215025648
1980-12-19,1.1184308687627704
1980-12-20,1.3011930970542191
1980-12-21,2.2834548073576815
1980-12-22,2.8556137889737494
1980-12-23,4.6403822078300445
1980-12-24,4.140715342270517
1980-12-25,2.7936117602596124
1980-12-26,1.031568072343022
1980-12-27,0.7115333823089202
1980-12-28,1.7009117478024904
1980-12-29,2.025893454447318
1980-12-30,3.597566501384893
1980-12-31,7.85
1981-01-01,5.5
1981-01-02,7.15
1981-01-03,8.75
1981-01-04,2.7
1981-01-05,2.45
1981-01-06,2.1
1981-01-07,2.25
1981-01-08,4.450000000000001
1981-01-09,6.0
1981-01-10,2.45
1981-01-11,1.0
1981-01-12,2.4
1981-01-13,3.3
1981-01-14,4.7
1981-01-15,1.15
1981-01-16,2.7
1981-01-17,3.2
1981-01-18,3.2
1981-01-19,3.3999999999999995
1981-01-20,3.2
1981-01-21,5.450000000000001
1981-01-22,6.750000000000002
1981-01-23,9.0
1981-01-24,8.05
1981-01-25,5.05
1981-01-26,5.8500000000000005
1981-01-27,6.4
1981-01-28,6.35
1981-01-29,5.1000000000000005
1981-01-30,2.7
1981-01-31,3.850000000000001
1981-02-01,6.45
1981-02-02,5.250000000000002
1981-02-03,4.15
1981-02-04,3.35
1981-02-05,4.4
1981-02-06,7.4
1981-02-07,9.3
1981-02-08,9.0
1981-02-09,7.199999999999999
1981-02-10,2.4
1981-02-11,2.4
1981-02-12,2.3
1981-02-13,2.15
1981-02-14,1.9500000000000004
1981-02-15,2.25
1981-02-16,3.25
1981-02-17,2.5
1981-02-18,1.6999999999999995
1981-02-19,1.0499999999999998
1981-02-20,1.2999999999999998
1981-02-21,0.95
1981-02-22,1.0499999999999998
1981-02-23,1.1
1981-02-24,1.0499999999999998
1981-02-25,0.7999999999999999
1981-02-26,0.3999999999999999
1981-02-27,2.85
1981-02-28,4.549999999999999
1981-03-01,6.1000000000000005
1981-03-02,5.4
1981-03-03,3.85
1981-03-04,1.55
1981-03-05,3.75
1981-03-06,6.9
1981-03-07,8.450000000000001
1981-03-08,10.9
1981-03-09,10.500000000000002
1981-03-10,11.45
1981-03-11,11.3
1981-03-12,9.95
1981-03-13,8.7
1981-03-14,5.750000000000001
1981-03-15,6.249999999999999
1981-03-16,4.25
1981-03-17,2.7999999999999994
1981-03-18,4.999999999999999
1981-03-19,7.3
1981-03-20,9.300000000000002
1981-03-21,9.2
1981-03-22,8.3
1981-03-23,6.949999999999999
1981-03-24,9.5
1981-03-25,11.650000000000002
1981-03-26,9.750000000000002
1981-03-27,8.799999999999999
1981-03-28,13.25
1981-03-29,9.75
1981-03-30,6.45
1981-03-31,5.449999999999999
1981-04-01,6.949999999999999
1981-04-02,7.55
1981-04-03,6.1000000000000005
1981-04-04,5.050000000000001
1981-04-05,5.7
1981-04-06,6.749999999999999
1981-04-07,7.500000000000001
1981-04-08,10.35
1981-04-09,12.9
1981-04-10,12.35
1981-04-11,15.000000000000002
1981-04-12,10.85
1981-04-13,8.65
1981-04-14,9.35
1981-04-15,9.55
1981-04-16,8.05
1981-04-17,6.250000000000001
1981-04-18,5.850000000000001
1981-04-19,5.199999999999999
1981-04-20,6.15
1981-04-21,4.4
1981-04-22,4.1
1981-04-23,3.5000000000000004
1981-04-24,3.2
1981-04-25,3.5500000000000007
1981-04-26,3.7
1981-04-27,5.35
1981-04-28,4.650000000000001
1981-04-29,9.35
1981-04-30,11.35
1981-05-01,6.699999999999999
1981-05-02,5.700000000000001
1981-05-03,3.8
1981-05-04,7.700000000000001
1981-05-05,6.3
1981-05-06,11.4
1981-05-07,11.950000000000005
1981-05-08,13.25
1981-05-09,10.35
1981-05-10,12.55
1981-05-11,13.65
1981-05-12,12.85
1981-05-13,12.1
1981-05-14,12.35
1981-05-15,11.65
1981-05-16,10.650000000000002
1981-05-17,9.8
1981-05-18,9.15
1981-05-19,12.9
1981-05-20,15.95
1981-05-21,11.6
1981-05-22,11.25
1981-05-23,12.05
1981-05-24,10.0
1981-05-25,9.0
1981-05-26,9.6
1981-05-27,11.099999999999998
1981-05-28,12.000000000000002
1981-05-29,11.8
1981-05-30,14.35
1981-05-31,15.85
1981-06-01,14.95
1981-06-02,15.75
1981-06-03,13.5
1981-06-04,11.45
1981-06-05,11.900000000000002
1981-06-06,12.45
1981-06-07,11.350000000000003
1981-06-08,15.05
1981-06-09,13.3
1981-06-10,11.75
1981-06-11,13.5
1981-06-12,12.7
1981-06-13,15.35
1981-06-14,18.25
1981-06-15,17.25
1981-06-16,11.3
1981-06-17,10.95
1981-06-18,10.55
1981-06-19,10.3
1981-06-20,13.45
1981-06-21,12.6
1981-06-22,13.4
1981-06-23,15.3
1981-06-24,13.65
1981-06-25,11.5
1981-06-26,10.100000000000003
1981-06-27,10.1
1981-06-28,8.799999999999999
1981-06-29,11.550000000000002
1981-06-30,13.8
1981-07-01,14.1
1981-07-02,12.3
1981-07-03,12.6
1981-07-04,12.7
1981-07-05,15.999999999999998
1981-07-06,17.05
1981-07-07,17.45
1981-07-08,17.95
1981-07-09,19.45
1981-07-10,17.1
1981-07-11,14.9
1981-07-12,14.95
1981-07-13,16.75
1981-07-14,15.25
1981-07-15,16.85
1981-07-16,14.75
1981-07-17,12.55
1981-07-18,13.500000000000002
1981-07-19,13.45
1981-07-20,17.799999999999997
1981-07-21,18.500000000000004
1981-07-22,14.55
1981-07-23,12.800000000000002
1981-07-24,11.550000000000002
1981-07-25,12.25
1981-07-26,16.1
1981-07-27,17.150000000000002
1981-07-28,19.0
1981-07-29,17.300000000000004
1981-07-30,15.8
1981-07-31,13.55
1981-08-01,13.85
1981-08-02,13.8
1981-08-03,15.250000000000002
1981-08-04,19.75
1981-08-05,20.143719945468742
1981-08-06,15.849999999999998
1981-08-07,15.1
1981-08-08,15.3
1981-08-09,14.15
1981-08-10,16.450000000000003
1981-08-11,15.3
1981-08-12,17.25
1981-08-13,17.400000000000002
1981-08-14,18.55
1981-08-15,20.15
1981-08-16,15.0
1981-08-17,13.8
1981-08-18,15.9
1981-08-19,15.65
1981-08-20,15.5
1981-08-21,13.55
1981-08-22,15.25
1981-08-23,14.85
1981-08-24,16.150000000000002
1981-08-25,16.75
1981-08-26,19.1
1981-08-27,17.412633920605096
1981-08-28,17.25
1981-08-29,17.45
1981-08-30,16.099999999999998
1981-08-31,15.800000000000002
