Date,Total Degree Days,Sum Unaffected Daily Thermal Time
1981-03-06,433.3381510536314,1060.7000000000003
1981-03-07,436.9410238061008,1069.1500000000003
1981-03-08,440.9974105272408,1080.0500000000004
1981-03-09,444.9383241868369,1090.5500000000004
1981-03-10,449.3268115109041,1102.0000000000005
1981-03-11,453.70522999511735,1113.3000000000004
1981-03-12,457.5559415446715,1123.2500000000005
1981-03-13,460.90870725806644,1131.9500000000005
1981-03-14,463.0016505262139,1137.7000000000005
1981-03-15,465.34227413665155,1143.9500000000005
1981-03-16,466.8082316328427,1148.2000000000005
1981-03-17,467.62959215018793,1151.0000000000005
1981-03-18,469.4758928291184,1156.0000000000005
1981-03-19,472.4170768348716,1163.3000000000004
1981-03-20,476.33591478668353,1172.6000000000004
1981-03-21,480.25107253178896,1181.8000000000004
1981-03-22,483.77537667290557,1190.1000000000004
1981-03-23,486.67967869042656,1197.0500000000004
1981-03-24,490.8741524688524,1206.5500000000004
1981-03-25,496.18668545870855,1218.2000000000005
1981-03-26,500.5984624589879,1227.9500000000005
1981-03-27,504.57324910900235,1236.7500000000005
1981-03-28,510.88179891891536,1250.0000000000005
1981-03-29,515.4352060373287,1259.7500000000005
1981-03-30,518.3008412397846,1266.2000000000005
1981-03-31,520.6648092902266,1271.6500000000005
1981-04-01,523.8579435743476,1278.6000000000006
1981-04-02,527.4087073639142,1286.1500000000005
1981-04-03,530.2012046273182,1292.2500000000005
1981-04-04,532.440862662187,1297.3000000000004
1981-04-05,535.0656301198122,1303.0000000000005
1981-04-06,538.3082006521064,1309.7500000000005
1981-04-07,542.0092597161118,1317.2500000000005
1981-04-08,547.3842529340615,1327.6000000000004
1981-04-09,554.2903010560569,1340.5000000000005
1981-04-10,560.9393203135652,1352.8500000000004
1981-04-11,569.2174396123788,1367.8500000000004
1981-04-12,575.0956437230274,1378.7000000000003
1981-04-13,579.7028488516231,1387.3500000000004
1981-04-14,584.7773478604378,1396.7000000000003
1981-04-15,590.0201839264844,1406.2500000000002
1981-04-16,594.3817815166877,1414.3000000000002
1981-04-17,597.6584679333229,1420.5500000000002
1981-04-18,600.7119763399193,1426.4
1981-04-19,603.379148648583,1431.6000000000001
1981-04-20,606.6776440411195,1437.7500000000002
1981-04-21,608.8737675091161,1442.1500000000003
1981-04-22,610.8929280337368,1446.2500000000002
1981-04-23,612.5348117993072,1449.7500000000002
1981-04-24,613.9915450272133,1452.9500000000003
1981-04-25,615.6937580684953,1456.5000000000002
1981-04-26,617.5105912043985,1460.2000000000003
1981-04-27,620.4609777961942,1465.5500000000002
1981-04-28,622.9560403056337,1470.2000000000003
1981-04-29,628.7082416304135,1479.5500000000002
1981-04-30,635.8929100624913,1490.9
1981-05-01,639.8796630783683,1497.6000000000001
1981-05-02,643.191578902213,1503.3000000000002
1981-05-03,645.17920548491,1507.1000000000001
1981-05-04,649.9699693122541,1514.8000000000002
1981-05-05,653.786918144686,1521.1000000000001
1981-05-06,661.3298651478141,1532.5000000000002
1981-05-07,669.3271988238123,1544.4500000000003
1981-05-08,678.3355655988742,1557.7000000000003
1981-05-09,685.2579431211317,1568.0500000000002
1981-05-10,693.8661654621453,1580.6000000000001
1981-05-11,703.3561003208358,1594.2500000000002
1981-05-12,712.3032540674774,1607.1000000000001
1981-05-13,720.7372853907807,1619.2
1981-05-14,729.414988483783,1631.55
1981-05-15,737.6072798014254,1643.2
1981-05-16,745.0748484711606,1653.8500000000001
1981-05-17,751.9246672524154,1663.65
1981-05-18,758.3050384204143,1672.8000000000002
1981-05-19,767.6736165497414,1685.7000000000003
1981-05-20,779.5081671280918,1701.6500000000003
1981-05-21,787.9443260378905,1713.2500000000002
1981-05-22,796.1447154332843,1724.5000000000002
1981-05-23,805.0303196552753,1736.5500000000002
1981-05-24,812.3034697145122,1746.5500000000002
1981-05-25,818.7997619591334,1755.5500000000002
1981-05-26,825.816069416411,1765.15
1981-05-27,834.0936624048082,1776.25
1981-05-28,843.1485845321494,1788.25
1981-05-29,852.076720495103,1800.05
1981-05-30,863.1582021392697,1814.3999999999999
1981-05-31,875.5335074179111,1830.2499999999998
1981-06-01,887.2029150681789,1845.1999999999998
1981-06-02,899.5863994686243,1860.9499999999998
1981-06-03,910.1173378082216,1874.4499999999998
1981-06-04,918.9503419693257,1885.8999999999999
1981-06-05,928.192672914201,1897.8
1981-06-06,937.9302318765314,1910.25
1981-06-07,946.7569701687933,1921.6
1981-06-08,958.7706541287193,1936.6499999999999
1981-06-09,969.3137632081491,1949.9499999999998
1981-06-10,978.549224167158,1961.6999999999998
1981-06-11,989.3106197327519,1975.1999999999998
1981-06-12,999.4025454124316,1987.8999999999999
1981-06-13,1011.8016422727643,2003.2499999999998
1981-06-14,1026.7294795823184,2021.4999999999998
1981-06-15,1040.8110094720264,2038.7499999999998
