Date,Total Degree Days,Sum Unaffected Daily Thermal Time
1980-12-31,203.3631211777163,325.90000000000003
1981-01-01,205.43661016473806,331.40000000000003
1981-01-02,208.2753216846261,338.55
1981-01-03,211.859310100367,347.3
1981-01-04,212.64706921877206,350.0
1981-01-05,213.32043648946512,352.45
1981-01-06,213.83244238842622,354.55
1981-01-07,214.41568365882787,356.8
1981-01-08,216.02955829134692,361.25
1981-01-09,218.37480466176584,367.25
1981-01-10,219.05684222132768,369.7
1981-01-11,219.05684222132768,370.7
1981-01-12,219.71931640472712,373.09999999999997
1981-01-13,220.8111209820173,376.4
1981-01-14,222.5732742990783,381.09999999999997
1981-01-15,222.64495553306364,382.24999999999994
1981-01-16,223.46018774442135,384.94999999999993
1981-01-17,224.5189972200805,388.1499999999999
1981-01-18,225.5817289699541,391.3499999999999
1981-01-19,226.7454790654072,394.7499999999999
1981-01-20,227.8164037413752,397.9499999999999
1981-01-21,229.99122126873436,403.39999999999986
1981-01-22,232.81281583789226,410.14999999999986
1981-01-23,236.75481628027248,419.14999999999986
1981-01-24,240.24340896688304,427.1999999999999
1981-01-25,242.25613095999375,432.2499999999999
1981-01-26,244.67699219165402,438.0999999999999
1981-01-27,247.38438770635753,444.4999999999999
1981-01-28,250.07884042328698,450.8499999999999
1981-01-29,252.15321510959498,455.94999999999993
1981-01-30,253.01731758277958,458.6499999999999
1981-01-31,254.47277432051953,462.49999999999994
1981-02-01,257.2692621596279,468.94999999999993
1981-02-02,259.46050243613183,474.19999999999993
1981-02-03,261.0924932462931,478.3499999999999
1981-02-04,262.31598591097344,481.69999999999993
1981-02-05,264.09491198629735,486.0999999999999
1981-02-06,267.4602015766638,493.4999999999999
1981-02-07,271.8465281911206,502.7999999999999
1981-02-08,276.09574739191265,511.7999999999999
1981-02-09,279.4057013635284,518.9999999999999
1981-02-10,280.15694925727524,521.3999999999999
1981-02-11,280.91207820993935,523.7999999999998
1981-02-12,281.616911243695,526.0999999999998
1981-02-13,282.2436717265912,528.2499999999998
1981-02-14,282.7641449926077,530.1999999999998
1981-02-15,283.4525836333751,532.4499999999998
1981-02-16,284.6983215591199,535.6999999999998
1981-02-17,285.53321707788365,538.1999999999998
1981-02-18,285.92490720317625,539.8999999999999
1981-02-19,285.9530342791803,540.9499999999998
1981-02-20,286.1226989545317,542.2499999999998
1981-02-21,286.1226989545317,543.1999999999998
1981-02-22,286.1512804869103,544.2499999999998
1981-02-23,286.2087508562286,545.3499999999998
1981-02-24,286.237640724477,546.3999999999997
1981-02-25,286.237640724477,547.1999999999997
1981-02-26,286.237640724477,547.5999999999997
1981-02-27,287.32395375728885,550.4499999999997
1981-02-28,289.41975515380153,554.9999999999997
1981-03-01,292.4468843550952,561.0999999999997
1981-03-02,295.0726291478227,566.4999999999997
1981-03-03,296.7825789635335,570.3499999999997
1981-03-04,297.11435045292313,571.8999999999996
1981-03-05,298.78215725042384,575.6499999999996
1981-03-06,302.3796519016982,582.5499999999996
1981-03-07,306.9467210059431,590.9999999999997
1981-03-08,313.0483723746841,601.8999999999996
1981-03-09,318.9349662534216,612.3999999999996
1981-03-10,325.44498301406526,623.8499999999997
1981-03-11,331.8959550288039,635.1499999999996
1981-03-12,337.5314175360141,645.0999999999997
1981-03-13,342.4057152497208,653.7999999999997
1981-03-14,345.4286283740167,659.5499999999997
1981-03-15,348.78753372080115,665.7999999999997
1981-03-16,350.8779060933254,670.0499999999997
1981-03-17,352.0417904295998,672.8499999999997
1981-03-18,354.6418858709046,677.8499999999997
1981-03-19,358.75865547464423,685.1499999999996
1981-03-20,364.21090014332196,694.4499999999996
1981-03-21,369.6257526776405,703.6499999999996
1981-03-22,374.4715503693663,711.9499999999996
1981-03-23,378.4418466807549,718.8999999999996
1981-03-24,384.1432546367317,728.3999999999996
1981-03-25,391.32390108013817,740.0499999999996
1981-03-26,397.2540561303198,749.7999999999996
1981-03-27,402.56766745282914,758.5999999999996
1981-03-28,410.9557248292726,771.8499999999996
1981-03-29,416.97793945624124,781.5999999999996
1981-03-30,420.74810233783757,788.0499999999996
1981-03-31,423.8421815706248,793.4999999999997
1981-04-01,428.00021885530344,800.4499999999997
1981-04-02,432.60071531852174,807.9999999999997
1981-04-03,436.2008385397343,814.0999999999997
1981-04-04,441.04133511433747,819.1499999999996
1981-04-05,443.66610257196265,824.8499999999997
1981-04-06,446.90867310425676,831.5999999999997
1981-04-07,450.6097321682622,839.0999999999997
1981-04-08,455.9847253862118,849.4499999999997
1981-04-09,462.89077350820725,862.3499999999997
1981-04-10,469.5397927657155,874.6999999999997
1981-04-11,477.8179120645291,889.6999999999997
1981-04-12,483.6961161751776,900.5499999999997
1981-04-13,488.3033213037734,909.1999999999997
1981-04-14,493.377820312588,918.5499999999997
1981-04-15,498.6206563786347,928.0999999999997
1981-04-16,502.98225396883805,936.1499999999996
1981-04-17,506.2589403854731,942.3999999999996
1981-04-18,509.3124487920695,948.2499999999997
1981-04-19,511.97962110073337,953.4499999999997
1981-04-20,515.2781164932699,959.5999999999997
1981-04-21,517.4742399612664,963.9999999999997
1981-04-22,519.4934004858872,968.0999999999997
1981-04-23,521.1352842514576,971.5999999999997
1981-04-24,522.5920174793637,974.7999999999997
1981-04-25,524.2942305206457,978.3499999999997
1981-04-26,526.1110636565488,982.0499999999997
1981-04-27,529.0614502483446,987.3999999999997
1981-04-28,531.556512757784,992.0499999999997
1981-04-29,537.3087140825638,1001.3999999999997
1981-04-30,544.4933825146417,1012.7499999999998
1981-05-01,548.4801355305186,1019.4499999999998
1981-05-02,551.7920513543634,1025.1499999999999
1981-05-03,553.7796779370603,1028.9499999999998
1981-05-04,558.5704417644044,1036.6499999999999
1981-05-05,562.3873905968363,1042.9499999999998
1981-05-06,569.9303375999644,1054.35
1981-05-07,577.9276712759627,1066.3
1981-05-08,586.9360380510245,1079.55
1981-05-09,593.8584155732821,1089.8999999999999
1981-05-10,602.4666379142957,1102.4499999999998
1981-05-11,611.9565727729862,1116.1
1981-05-12,620.9037265196278,1128.9499999999998
1981-05-13,629.3377578429311,1141.0499999999997
1981-05-14,638.0154609359333,1153.3999999999996
1981-05-15,646.2077522535758,1165.0499999999997
1981-05-16,653.675320923311,1175.6999999999998
1981-05-17,660.5251397045657,1185.4999999999998
1981-05-18,666.9055108725647,1194.6499999999999
1981-05-19,676.2740890018918,1207.55
1981-05-20,688.1086395802422,1223.5
1981-05-21,696.5447984900409,1235.1
1981-05-22,704.7451878854347,1246.35
1981-05-23,713.6307921074257,1258.3999999999999
1981-05-24,720.9039421666625,1268.3999999999999
1981-05-25,727.4002344112838,1277.3999999999999
1981-05-26,734.4165418685614,1286.9999999999998
1981-05-27,742.6941348569586,1298.0999999999997
1981-05-28,751.7490569842997,1310.0999999999997
1981-05-29,760.6771929472534,1321.8999999999996
1981-05-30,771.7586745914201,1336.2499999999995
1981-05-31,784.1339798700615,1352.0999999999995
1981-06-01,795.8033875203292,1367.0499999999995
1981-06-02,808.1868719207747,1382.7999999999995
1981-06-03,818.717810260372,1396.2999999999995
1981-06-04,827.550814421476,1407.7499999999995
1981-06-05,836.7931453663514,1419.6499999999996
1981-06-06,846.5307043286817,1432.0999999999997
1981-06-07,855.3574426209436,1443.4499999999996
1981-06-08,867.3711265808697,1458.4999999999995
1981-06-09,877.9142356602995,1471.7999999999995
1981-06-10,887.1496966193083,1483.5499999999995
1981-06-11,897.9110921849023,1497.0499999999995
1981-06-12,908.0030178645819,1509.7499999999995
1981-06-13,920.4021147249147,1525.0999999999995
1981-06-14,935.3299520344686,1543.3499999999995
1981-06-15,949.4114819241767,1560.5999999999995
1981-06-16,958.3474345800362,1571.8999999999994
1981-06-17,966.9881929071219,1582.8499999999995
1981-06-18,975.2881311644167,1593.3999999999994
1981-06-19,983.3756328062419,1603.6999999999994
1981-06-20,994.2068608735352,1617.1499999999994
1981-06-21,1004.3007853407369,1629.7499999999993
1981-06-22,1015.0911012847956,1643.1499999999994
1981-06-23,1027.5326836826418,1658.4499999999994
1981-06-24,1038.5347429436183,1672.0999999999995
1981-06-25,1043.368647347502,1683.5999999999995
1981-06-26,1044.468647347502,1693.6999999999994
1981-06-27,1045.5686473475018,1703.7999999999993
1981-06-28,1045.5686473475018,1712.5999999999992
1981-06-29,1048.1186473475018,1724.1499999999992
1981-06-30,1052.9186473475017,1737.9499999999991
1981-07-01,1058.0186473475017,1752.049999999999
1981-07-02,1061.3186473475016,1764.349999999999
1981-07-03,1064.9186473475015,1776.949999999999
1981-07-04,1068.6186473475016,1789.649999999999
1981-07-05,1075.6186473475016,1805.649999999999
1981-07-06,1083.6686473475015,1822.699999999999
1981-07-07,1092.1186473475016,1840.149999999999
1981-07-08,1101.0686473475016,1858.099999999999
1981-07-09,1111.5186473475017,1877.549999999999
1981-07-10,1119.6186473475016,1894.649999999999
1981-07-11,1125.5186473475017,1909.549999999999
1981-07-12,1131.4686473475017,1924.499999999999
1981-07-13,1139.2186473475017,1941.249999999999
1981-07-14,1145.4686473475017,1956.499999999999
1981-07-15,1153.3186473475016,1973.349999999999
1981-07-16,1159.0686473475016,1988.099999999999
1981-07-17,1162.6186473475016,2000.649999999999
1981-07-18,1167.1186473475016,2014.149999999999
1981-07-19,1171.5686473475016,2027.599999999999
1981-07-20,1180.3686473475016,2045.399999999999
1981-07-21,1189.8686473475016,2063.8999999999987
1981-07-22,1195.4186473475015,2078.449999999999
1981-07-23,1199.2186473475015,2091.249999999999
1981-07-24,1201.7686473475014,2102.7999999999993
1981-07-25,1205.0186473475014,2115.0499999999993
1981-07-26,1212.1186473475013,2131.149999999999
1981-07-27,1220.2686473475014,2148.2999999999993
1981-07-28,1230.2686473475014,2167.2999999999993
1981-07-29,1238.5686473475014,2184.5999999999995
1981-07-30,1245.3686473475013,2200.3999999999996
1981-07-31,1249.9186473475013,2213.95
1981-08-01,1254.7686473475012,2227.7999999999997
1981-08-02,1259.5686473475012,2241.6
1981-08-03,1265.8186473475012,2256.85
1981-08-04,1276.5686473475012,2276.6
1981-08-05,1287.8720029819099,2296.7437199454685
1981-08-06,1294.7220029819098,2312.5937199454684
1981-08-07,1300.8220029819097,2327.6937199454683
1981-08-08,1307.1220029819096,2342.9937199454685
1981-08-09,1312.2720029819097,2357.1437199454685
1981-08-10,1319.7220029819098,2373.5937199454684
1981-08-11,1326.0220029819097,2388.8937199454685
1981-08-12,1334.2720029819097,2406.1437199454685
1981-08-13,1342.6720029819098,2423.5437199454686
1981-08-14,1352.2220029819098,2442.093719945469
1981-08-15,1363.3720029819099,2462.243719945469
1981-08-16,1369.3720029819099,2477.243719945469
1981-08-17,1374.1720029819098,2491.043719945469
1981-08-18,1381.07200298191,2506.943719945469
1981-08-19,1387.72200298191,2522.5937199454693
1981-08-20,1394.22200298191,2538.0937199454693
1981-08-21,1404.4592630202026,2551.6437199454695
1981-08-22,1410.7092630202026,2566.8937199454695
1981-08-23,1416.5592630202025,2581.7437199454694
1981-08-24,1423.7092630202026,2597.8937199454695
1981-08-25,1431.4592630202026,2614.6437199454695
1981-08-26,1441.5592630202025,2633.7437199454694
1981-08-27,1450.066121122282,2651.1563538660744
1981-08-28,1458.316121122282,2668.4063538660744
1981-08-29,1466.7661211222821,2685.856353866074
1981-08-30,1473.866121122282,2701.956353866074
1981-08-31,1480.666121122282,2717.7563538660743
